broker_name,website,regulator_count,regulators,hq_country,founded_year,license_status,notes,website_enriched,research_tool_status,research_tool_vendors,research_tool_notes,research_tool_pages_checked
HSB,https://www.hsb.co.id/,2,ICDX|BAPPEBTI,Indonesia,,Regulated,"Broker | Platforms: MT5, WebTrader, Mobile/Tablet App",YES,none-found,,No vendor mentions found on homepage.,https://www.hsb.co.id/
CGS International,https://www.cgsi.co.th,3,ICDX|MAS|BAPPEBTI,Thailand,2018,Regulated,"Broker | Platforms: WebTrader, Mobile App",YES,none-found,,No vendor mentions found on homepage.,https://www.cgsi.co.th
PasarFX,https://pasarfx.co.id/,3,ICDX|BAPPEBTI|JFX,Indonesia,,Regulated,Broker,YES,none-found,,No vendor mentions found on homepage.,https://pasarfx.co.id/
MagnetFX,https://www.magnetfx.co.id/,2,ICDX|BAPPEBTI,Indonesia,2021,Regulated,Broker | Platforms: MT5,YES,none-found,,No vendor mentions found on homepage.,https://www.magnetfx.co.id/
JAVA,https://www.javafx.co.id/,2,ICDX|BAPPEBTI,Indonesia,2016,Regulated,"Broker | Platforms: MT5, WebTrader",YES,none-found,,No vendor mentions found on homepage.,https://www.javafx.co.id/
DOO FINANCIAL,https://www.doofinancial.com/,4,ICDX|ASIC|CySEC|BAPPEBTI,Hong Kong,2019,ASIC: Unverified; CYSEC: Unverified,"Broker | Platforms: MT5, InTrade",YES,none-found,,No vendor mentions found on homepage.,https://www.doofinancial.com/
QuickPro,https://www.quickpro.co.id/,3,ICDX|BAPPEBTI|JFX,Indonesia,,Regulated,Broker,YES,none-found,,No vendor mentions found on homepage.,https://www.quickpro.co.id/
RRFX,https://rrfx.co.id/,3,ICDX|BAPPEBTI|JFX,Indonesia,,Regulated,Broker | Not yet transparency-certified on WikiLicense,YES,none-found,,No vendor mentions found on homepage.,https://rrfx.co.id/
trive invest,https://www.triveinvest.co.id/,4,ICDX|BAPPEBTI|JFX|ASIC,Indonesia,2022,ASIC: Unverified,Broker | Platforms: MT5,YES,none-found,,No vendor mentions found on homepage. (Distinct entity/site from 'Trive' int/ which showed a Trading Central match.),https://www.triveinvest.co.id/
First State Futures,https://www.fsf.co.id/,3,ICDX|BAPPEBTI|JFX,Indonesia,2022,BAPPEBTI: Revoked; JFX: Suspicious Clone,"Broker | Platforms: JAFeTS NOW, MT4",YES,autochartist,Autochartist,"Clear Autochartist integration: homepage embeds live auto-generated technical analysis chart images served from component.autochartist.com, with a broker_id parameter (1019) tying the feed to this broker specifically. No visible 'Autochartist' brand text anywhere on the page — only discoverable via the image src domain (FIX #2 pattern).",https://www.fsf.co.id/
Surya,https://www.surya-am.com/,1,ICDX,Indonesia,2000,Regulated,Broker | Platforms: MT4,YES,none-found,,No vendor mentions found on homepage.,https://www.surya-am.com/
Markets4you,https://www.markets4you.com/en/,1,BVI FSC,British Virgin Islands,2007,FSC: Offshore Regulation,"Broker | Platforms: Markets4you, MT4/5",YES,none-found,,No vendor mentions found on homepage.,https://www.markets4you.com/en/
IFC Markets,https://www.trifcm.asia/,1,BVI FSC,Turkey,2006,FSC: Suspicious Clone,"Broker | Platforms: NetTradeX, MT4, MT5 | WikiLicense flags its BVI FSC license as a Suspicious Clone",YES,unscraped,,The provided URL (trifcm.asia) no longer belongs to IFC Markets — it now resolves to a generic parked/link-farm 'Corporate Page' with dozens of unrelated .xyz/.shop redirect links. Could not evaluate the actual IFC Markets site since no valid URL was reachable.,https://www.trifcm.asia/
FTD,https://www.ftdsystem.com/,1,BVI FSC,United Kingdom,2017,Regulated,Broker | Platforms: MT5,YES,none-found,,No vendor mentions found on homepage.,https://www.ftdsystem.com/
FIBOGROUP,http://www.fibogroup.com/,1,BVI FSC,British Virgin Islands,1998,FSC: Offshore Regulation,"Broker | Platforms: MT4, MT5, cTrader",YES,none-found,,No vendor mentions found on homepage.,http://www.fibogroup.com/
ZITA PLUS,https://zitaplus.com,1,BVI FSC,British Virgin Islands,2023,FSC: Offshore Regulation,Broker | Platforms: MT5,YES,none-found,,No vendor mentions found on homepage.,https://zitaplus.com
sgt. MARKETS,https://sgt.markets/,1,BVI FSC,British Virgin Islands,2021,FSC: Offshore Regulation,"Broker | Platforms: MT4, MT5",YES,none-found,,Site currently shows a 'Get Ready — we are working on a major update' maintenance/coming-soon page (HTTP 503); no substantive content or vendor mentions present.,https://sgt.markets/
CNS,http://www.cnsinvest.com/home.html,1,BVI FSC,British Virgin Islands,2011,Regulated,"Broker | FX, futures, derivatives, securities, bonds, options trading",YES,unscraped,,DNS resolution failed for www.cnsinvest.com on repeated attempts (both the /home.html path and base domain) — domain does not appear to resolve currently. Could not evaluate.,http://www.cnsinvest.com/home.html|https://www.cnsinvest.com/
Zooe,https://zooe.com,1,BVI FSC,British Virgin Islands,,FSC: Offshore Regulation,Broker | Not yet transparency-certified on WikiLicense,YES,none-found,,No vendor mentions found on homepage.,https://zooe.com
MFX-Trading,https://mfx.az/az,1,CBAR,Azerbaijan,,Regulated,Broker | Platforms: MT5,YES,none-found,,The /az path 404'd; retried base domain which loaded. No vendor mentions found.,https://mfx.az/az (404)|https://mfx.az/
Moomoo,,1,MAS,Malaysia,,Unverified (not enriched),,NO,no-site,,,
uSMART,,1,MAS,Hong Kong,,Unverified (not enriched),,NO,no-site,,,
ORIENT SECURITIES,,1,MAS,China,,Unverified (not enriched),,NO,no-site,,,
Blackrock,,1,MAS,Hong Kong,,Unverified (not enriched),,NO,no-site,,,
StoneX,,1,MAS,United States,,Unverified (not enriched),,NO,no-site,,,
KGI,,1,MAS,Singapore,,Unverified (not enriched),,NO,no-site,,,
Phillip Nova,,1,MAS,Singapore,,Unverified (not enriched),,NO,no-site,,,
OCBC,,1,MAS,Singapore,,Unverified (not enriched),,NO,no-site,,,
STARX CAPITAL MARKETS,,1,MAS,Singapore,,Unverified (not enriched),,NO,no-site,,,
Straits Financial,,1,MAS,Hong Kong,,Unverified (not enriched),,NO,no-site,,,
PhillipCapital,,1,MAS,Singapore,,Unverified (not enriched),,NO,no-site,,,
tickrs,,1,MAS,Singapore,,Unverified (not enriched),,NO,no-site,,,
Lunaro,,1,ADGM,United Kingdom,,Unverified (not enriched),,NO,no-site,,,
ICM.com,,1,ADGM,Mauritius,,Unverified (not enriched),,NO,no-site,,,
FOCUS Markets,,2,FSRA SL|FSC Mauritius,Saint Lucia,,Unverified (not enriched),,NO,no-site,,,
WISDOM,,1,FSRA SL,Saint Lucia,,Unverified (not enriched),,NO,no-site,,,
IMPERIAL,,1,FSRA SL,Saint Lucia,,Unverified (not enriched),,NO,no-site,,,
FINSAI TRADE,,1,FSRA SL,United Arab Emirates,,Unverified (not enriched),,NO,no-site,,,
ZENORA,,1,FSRA SL,Australia,,Unverified (not enriched),,NO,no-site,,,
NewEra 365,,1,FSRA SL,Saint Lucia,,Unverified (not enriched),,NO,no-site,,,
InvidiaTrade,,1,FSRA SL,Saint Lucia,,Unverified (not enriched),,NO,no-site,,,
Bullsouq,,1,FSRA SL,Saint Lucia,,Unverified (not enriched),,NO,no-site,,,
INTERTRADER,,2,GFSC|FSC Mauritius,United Kingdom,,Unverified (not enriched),,NO,no-site,,,
FXCG,,1,CIMA,Anguilla,,Unverified (not enriched),,NO,no-site,,,
Capital Markets Elite Group,,1,CIMA,Saint Lucia,,Unverified (not enriched),,NO,no-site,,,
TRADEVIEW MARKETS,,1,CIMA,Cayman Islands,,Unverified (not enriched),,NO,no-site,,,
FTM BROKERS,,1,NBRB,Belarus,,Unverified (not enriched),,NO,no-site,,,
ForexBY,,1,NBRB,Belarus,,Unverified (not enriched),,NO,no-site,,,
FXPN,,1,NBRB,Belarus,,Unverified (not enriched),,NO,no-site,,,
ForexClub,,1,NBRB,Saint Vincent and the Grenadines,,Unverified (not enriched),,NO,no-site,,,
ROYAL CAPITAL,,1,FSPR,Hong Kong,,Unverified (not enriched),,NO,no-site,,,
BlackBull,,1,FSPR,New Zealand,,Unverified (not enriched),,NO,no-site,,,
Longbridge,,1,FSPR,Hong Kong,,Unverified (not enriched),,NO,no-site,,,
TopWealth Trading,,2,FSPR|VFSC,Australia,,Unverified (not enriched),,NO,no-site,,,
CA Markets,,2,FSPR|VFSC,Australia,,Unverified (not enriched),,NO,no-site,,,
RockGlobal,,1,FSPR,Australia,,Unverified (not enriched),,NO,no-site,,,
Astral,,1,FSPR,United Kingdom,,Unverified (not enriched),,NO,no-site,,,
LLA Markets,,1,FSPR,New Zealand,,Unverified (not enriched),,NO,no-site,,,
TradeHall,,1,FSPR,Saint Vincent and the Grenadines,,Unverified (not enriched),,NO,no-site,,,
RALLYVILLE MARKETS,,1,VFSC,Australia,,Unverified (not enriched),,NO,no-site,,,
Vatee,,1,VFSC,Australia,,Unverified (not enriched),,NO,no-site,,,
DLSM,,1,VFSC,Vanuatu,,Unverified (not enriched),,NO,no-site,,,
evest,,1,VFSC,United Kingdom,,Unverified (not enriched),,NO,no-site,,,
JFD,,1,VFSC,Vanuatu,,Unverified (not enriched),,NO,no-site,,,
Juno Markets,,1,VFSC,Vanuatu,,Unverified (not enriched),,NO,no-site,,,
PRCBroker,,1,VFSC,Cyprus,,Unverified (not enriched),,NO,no-site,,,
MDM,,1,VFSC,Australia,,Unverified (not enriched),,NO,no-site,,,
XGLOBAL,,1,VFSC,Vanuatu,,Unverified (not enriched),,NO,no-site,,,
LegacyFX,,1,VFSC,Cyprus,,Unverified (not enriched),,NO,no-site,,,
Gerchik & Co,,1,VFSC,Vanuatu,,Unverified (not enriched),,NO,no-site,,,
Autu,,1,VFSC,Vanuatu,,Unverified (not enriched),,NO,no-site,,,
JMI Brokers,,1,VFSC,Vanuatu,,Unverified (not enriched),,NO,no-site,,,
DTT VAN LTD,,1,VFSC,Vanuatu,,Unverified (not enriched),,NO,no-site,,,
Market Equity,,1,VFSC,Vanuatu,,Unverified (not enriched),,NO,no-site,,,
Radar Brokers,,1,VFSC,Vanuatu,,Unverified (not enriched),,NO,no-site,,,
SMARTFX,,1,VFSC,Vanuatu,,Unverified (not enriched),,NO,no-site,,,
Oriental Wealth Markets,,1,VFSC,Vanuatu,,Unverified (not enriched),,NO,no-site,,,
ThreeTrader,,1,VFSC,Vanuatu,,Unverified (not enriched),,NO,no-site,,,
GMTK Fintech,,1,VFSC,Comoros,,Unverified (not enriched),,NO,no-site,,,
JMarkets,,1,VFSC,Vanuatu,,Unverified (not enriched),,NO,no-site,,,
CDO Markets,,1,VFSC,Vanuatu,,Unverified (not enriched),,NO,no-site,,,
SUN LONG GMTK INTERNATIONAL,,1,VFSC,Vanuatu,,Unverified (not enriched),,NO,no-site,,,
TJM,,1,FINRA,United States,,Unverified (not enriched),,NO,no-site,,,
CI DIRECT INVESTING,,1,CIRO,Canada,,Unverified (not enriched),,NO,no-site,,,
cg/ Direct,,1,CIRO,Canada,,Unverified (not enriched),,NO,no-site,,,
Questrade,,1,CIRO,Canada,,Unverified (not enriched),,NO,no-site,,,
RBC,,1,CIRO,Canada,,Unverified (not enriched),,NO,no-site,,,
RBC Securities,,1,CIRO,United States,,Unverified (not enriched),,NO,no-site,,,
Odlum Brown,,1,CIRO,Canada,,Unverified (not enriched),,NO,no-site,,,
CANDEAL,,1,CIRO,Canada,,Unverified (not enriched),,NO,no-site,,,
R.J.O'Brien,,1,CIRO,Canada,,Unverified (not enriched),,NO,no-site,,,
Jitneytrade,,1,CIRO,Canada,,Unverified (not enriched),,NO,no-site,,,
Argosy Securities,,1,CIRO,Canada,,Unverified (not enriched),,NO,no-site,,,
Ventum Financial,,1,CIRO,Canada,,Unverified (not enriched),,NO,no-site,,,
JonesTrading,,1,CIRO,Canada,,Unverified (not enriched),,NO,no-site,,,
PIPWISE,,1,MISA,Georgia,,Unverified (not enriched),,NO,no-site,,,
GARNETTRADE,,1,MISA,Macedonia,,Unverified (not enriched),,NO,no-site,,,
xChief,,1,MISA,Comoros,,Unverified (not enriched),,NO,no-site,,,
Murrentrade,,1,MISA,Saint Vincent and the Grenadines,,Unverified (not enriched),,NO,no-site,,,
STP Trading,,1,MISA,,,Unverified (not enriched),,NO,no-site,,,
IS6FX,,1,MISA,Mauritius,,Unverified (not enriched),,NO,no-site,,,
FXNX,,1,MISA,Saint Lucia,,Unverified (not enriched),,NO,no-site,,,
AMarkets,,1,MISA,Saint Vincent and the Grenadines,,Unverified (not enriched),,NO,no-site,,,
GINZO,,1,MISA,Comoros,,Unverified (not enriched),,NO,no-site,,,
DOMINION MARKETS,,1,MISA,Mauritius,,Unverified (not enriched),,NO,no-site,,,
NPB MARKETS,,1,MISA,Comoros,,Unverified (not enriched),,NO,no-site,,,
FELIX MARKETS,,1,MISA,Australia,,Unverified (not enriched),,NO,no-site,,,
METAGOLD,,1,MISA,Georgia,,Unverified (not enriched),,NO,no-site,,,
Phyntex,,1,MISA,Comoros,,Unverified (not enriched),,NO,no-site,,,
Invistro,,1,MISA,Comoros,,Unverified (not enriched),,NO,no-site,,,
WeGolden,,1,MISA,South Africa,,Unverified (not enriched),,NO,no-site,,,
WINGO MARKETS,,1,MISA,Comoros,,Unverified (not enriched),,NO,no-site,,,
YWO,,1,MISA,Comoros,,Unverified (not enriched),,NO,no-site,,,
ELEV8,,1,MISA,Comoros,,Unverified (not enriched),,NO,no-site,,,
eplanet,,1,MISA,Comoros,,Unverified (not enriched),,NO,no-site,,,
INZO,,1,MISA,Saint Vincent and the Grenadines,,Unverified (not enriched),,NO,no-site,,,
LDN Global Markets,,1,MISA,Saint Vincent and the Grenadines,,Unverified (not enriched),,NO,no-site,,,
Valbury,,2,BAPPEBTI|JFX,Indonesia,,Unverified (not enriched),,NO,no-site,,,
Dupoin,,3,BAPPEBTI|JFX|FSC Mauritius,United Kingdom,,Unverified (not enriched),,NO,no-site,,,
KVB,,3,BAPPEBTI|JFX|FSC Mauritius,Comoros,,Unverified (not enriched),,NO,no-site,,,
FINEX,,2,BAPPEBTI|JFX,Indonesia,,Unverified (not enriched),,NO,no-site,,,
TPFx,,2,BAPPEBTI|JFX,Indonesia,,Unverified (not enriched),,NO,no-site,,,
DIDIMAX,,2,BAPPEBTI|JFX,Indonesia,,Unverified (not enriched),,NO,no-site,,,
International Business Futures,,2,JFX|BAPPEBTI,Indonesia,,Unverified (not enriched),,NO,no-site,,,
maxco,,2,JFX|BAPPEBTI,Indonesia,,Unverified (not enriched),,NO,no-site,,,
EsaFX,,2,JFX|BAPPEBTI,Indonesia,,Unverified (not enriched),,NO,no-site,,,
MAHADANA,,2,JFX|BAPPEBTI,Indonesia,,Unverified (not enriched),,NO,no-site,,,
MRG MEGA BERJANGKA,,2,JFX|BAPPEBTI,Indonesia,,Unverified (not enriched),,NO,no-site,,,
SFI,,2,JFX|BAPPEBTI,Indonesia,,Unverified (not enriched),,NO,no-site,,,
PREMIER EQUITY FUTURES,,2,JFX|BAPPEBTI,Indonesia,,Unverified (not enriched),,NO,no-site,,,
PT. Gatra Mega Berjangka,,2,JFX|BAPPEBTI,Indonesia,,Unverified (not enriched),,NO,no-site,,,
ORBI TRADE BERJANGKA,,2,JFX|BAPPEBTI,Indonesia,,Unverified (not enriched),,NO,no-site,,,
PG berjangka,,2,JFX|BAPPEBTI,Indonesia,,Unverified (not enriched),,NO,no-site,,,
GENESIS,,2,JFX|BAPPEBTI,Indonesia,,Unverified (not enriched),,NO,no-site,,,
BestProfit,,2,JFX|BAPPEBTI,Indonesia,,Unverified (not enriched),,NO,no-site,,,
Menara Mas Futures,,2,JFX|BAPPEBTI,Indonesia,,Unverified (not enriched),,NO,no-site,,,
TRIDENT PRO FUTURES,,2,JFX|BAPPEBTI,Indonesia,,Unverified (not enriched),,NO,no-site,,,
United Asia Futures,,2,JFX|BAPPEBTI,Indonesia,,Unverified (not enriched),,NO,no-site,,,
IDFX,,2,JFX|BAPPEBTI,Indonesia,,Unverified (not enriched),,NO,no-site,,,
PanEn Kapital Berjangka,,2,JFX|BAPPEBTI,Indonesia,,Unverified (not enriched),,NO,no-site,,,
INVETRA TEKNOLOGI BERJANGKA,,2,JFX|BAPPEBTI,Indonesia,,Unverified (not enriched),,NO,no-site,,,
Langit Indonesia Berjangka,,2,JFX|BAPPEBTI,Indonesia,,Unverified (not enriched),,NO,no-site,,,
GLOBAL BUANA KARYA,,1,JFX,Indonesia,,Unverified (not enriched),,NO,no-site,,,
FirstState-Futures,,1,JFX,Indonesia,,Unverified (not enriched),,NO,no-site,,,
Valetax,,1,FSC Mauritius,Mauritius,,Unverified (not enriched),,NO,no-site,,,
Errante,,1,KNF,Seychelles,,Unverified (not enriched),,NO,no-site,,,
BROCTAGON prime,,1,FIN-FSA,Cyprus,,Unverified (not enriched),,NO,no-site,,,
Renaissance Capital,,1,FIN-FSA,Cyprus,,Unverified (not enriched),,NO,no-site,,,
ROYAL TRUST FUTURES,,1,BAPPEBTI,Indonesia,,Unverified (not enriched),,NO,no-site,,,
ASIAPRO,,1,BAPPEBTI,Indonesia,,Unverified (not enriched),,NO,no-site,,,
HFX,,1,BAPPEBTI,Indonesia,,Unverified (not enriched),,NO,no-site,,,
XS.com,,1,FSC Mauritius,Australia,,Unverified (not enriched),,NO,no-site,,,
AETRAM,,1,FSC Mauritius,United Arab Emirates,,Unverified (not enriched),,NO,no-site,,,
AURUM MARKETS,,1,FSC Mauritius,Mauritius,,Unverified (not enriched),,NO,no-site,,,
VARIANSE,,1,FSC Mauritius,United Kingdom,,Unverified (not enriched),,NO,no-site,,,
CapitalXtend,,1,FSC Mauritius,Mauritius,,Unverified (not enriched),,NO,no-site,,,
Amillex,,1,FSC Mauritius,Australia,,Unverified (not enriched),,NO,no-site,,,
Wisuno,,1,FSC Mauritius,Seychelles,,Unverified (not enriched),,NO,no-site,,,
ZERO,,1,FSC Mauritius,Saint Vincent and the Grenadines,,Unverified (not enriched),,NO,no-site,,,
Spec Markets,,1,FSC Mauritius,Cyprus,,Unverified (not enriched),,NO,no-site,,,
MENACAPITAL,,1,FSC Mauritius,Mauritius,,Unverified (not enriched),,NO,no-site,,,
GODO,,1,FSC Mauritius,Mauritius,,Unverified (not enriched),,NO,no-site,,,
Riyadex,,1,FSRA SL,South Africa,,Unverified (not enriched),,NO,no-site,,,
Fortuna Markets,,1,FSRA SL,Saint Lucia,,Unverified (not enriched),,NO,no-site,,,
Giraffe Markets,,1,FSRA SL,Mauritius,,Unverified (not enriched),,NO,no-site,,,
RubyFX,,1,FSRA SL,Saint Lucia,,Unverified (not enriched),,NO,no-site,,,
MBFX,,1,FSRA SL,Saint Lucia,,Unverified (not enriched),,NO,no-site,,,
ARFX,,1,FSRA SL,Comoros,,Unverified (not enriched),,NO,no-site,,,
Forexcitypro,,1,FSRA SL,Saint Lucia,,Unverified (not enriched),,NO,no-site,,,
FlipTrade Group,,1,FSRA SL,Mauritius,,Unverified (not enriched),,NO,no-site,,,
Maxify,,1,FSRA SL,Saint Lucia,,Unverified (not enriched),,NO,no-site,,,
TRADE FX,,1,FSRA SL,Saint Lucia,,Unverified (not enriched),,NO,no-site,,,
POXPRIME,,1,FSRA SL,Saint Lucia,,Unverified (not enriched),,NO,no-site,,,
Born2trade,,1,FSRA SL,Mauritius,,Unverified (not enriched),,NO,no-site,,,
Celestial Trader,,1,FSRA SL,Saint Lucia,,Unverified (not enriched),,NO,no-site,,,
AMBITIOUS FINCORP,,1,FSRA SL,Mauritius,,Unverified (not enriched),,NO,no-site,,,
Prima Capital,,1,FSRA SL,Mauritius,,Unverified (not enriched),,NO,no-site,,,
brillant capital,,1,FSRA SL,Mauritius,,Unverified (not enriched),,NO,no-site,,,
VOLURR BROKERAGE,,1,FSRA SL,Saint Lucia,,Unverified (not enriched),,NO,no-site,,,
ATM CAPITAL,,1,FSRA SL,Mauritius,,Unverified (not enriched),,NO,no-site,,,
SGFX,,1,FSRA SL,Saint Lucia,,Unverified (not enriched),,NO,no-site,,,
SEA GLOBAL,,1,FSRA SL,Saint Lucia,,Unverified (not enriched),,NO,no-site,,,
RADIANCE MARKETS,,1,FSRA SL,Saint Lucia,,Unverified (not enriched),,NO,no-site,,,
dragonflyfx,,1,FSRA SL,South Africa,,Unverified (not enriched),,NO,no-site,,,
BLUVOX,,1,FSRA SL,Saint Lucia,,Unverified (not enriched),,NO,no-site,,,
ByteFX,,1,FSRA SL,Saint Lucia,,Unverified (not enriched),,NO,no-site,,,
AKROS,,1,FSRA SL,Saint Lucia,,Unverified (not enriched),,NO,no-site,,,
EDMORA MARKETS,,1,FSRA SL,Saint Lucia,,Unverified (not enriched),,NO,no-site,,,
