broker_name,broker_domain,broker_url,country_or_primary_market,relationship_status,confidence_score,trading_central_products,integration_type,evidence_summary,primary_evidence_url,primary_evidence_title,primary_evidence_date,additional_evidence_urls,first_evidence_date,most_recent_evidence_date,relationship_description,relationship_type,source_type,evidence_excerpt,broker_group,broker_brand,research_notes,date_checked
INGOT,ingot.io,https://www.ingot.io,Seychelles / MENA (evidence from Arabic-language site),CONFIRMED_ACTIVE,82,Market analysis tools,BROKER_WEB_PLATFORM,"INGOT's own Arabic-language 'Resource Hub' runs a dedicated Trading Central page describing analyses tailored to instruments traded, to help identify market opportunities aligned with the client's strategy.",https://www.ingot.io/SC/ar/resource-hub/market-tools/trading-central,Trading Central - INGOT,,,,2026,INGOT provides Trading Central market-analysis tools through its Resource Hub.,PRODUCT_INTEGRATION,Broker website (Arabic-language dedicated page),"""يقوم Trading Central بتصميم تحليلاته استناداً للأدوات التي تتداولها بشكل كبير"" (Trading Central designs its analyses based on the instruments you trade most.)",INGOT,INGOT,Discovered via multilingual (Arabic) search sweep.,2026-09-01
Interactive Brokers,interactivebrokers.com,https://www.interactivebrokers.com,"United States (global, 30+ countries)",CONFIRMED_ACTIVE,96,Technical Insight; Technical Views; Featured Ideas; Market Buzz; Fundamental Insight; Economic Insight; TC Quantamental Rating,BROKER_WEB_PLATFORM; MOBILE_APP; RESEARCH_PORTAL; EDUCATIONAL_CONTENT,"Interactive Brokers runs a dedicated IBKR Campus contributor page for Trading Central plus a full set of Traders' Academy lessons (Technical Insight, Featured Ideas, Fundamental Insight, Economic Insight), and its 'Discover' research tool inside Client Portal/TWS/Mobile is explicitly built on Trading Central content across multiple regional domains (.com, .sg, .hk, .co.in, .eu).",https://www.interactivebrokers.com/campus/contributors-categories/trading-central/,Trading Central | IBKR Campus,Live 2026,https://www.interactivebrokers.com/campus/trading-lessons/discover-tool-technical-insight/; https://www.interactivebrokers.com/campus/trading-course/discover-tool/; https://www.interactivebrokers.com/en/pricing/research-news-services.php; https://www.interactivebrokers.eu/campus/trading-course/discover-tool-trading-central/; https://www.interactivebrokers.com.sg/en/general/tws_notes_1021.php; https://www.interactivebrokers.com.hk/en/general/tws_notes_1021.php; https://www.interactivebrokers.co.in/en/trading/fif-discover-tool.php,at least 2021 (regional TWS release notes),2026,"One of the deepest publicly documented Trading Central integrations: IBKR's 'Discover' tool across Client Portal, TWS and Mobile surfaces six-plus named Trading Central product modules, with dedicated educational content across at least five regional IBKR domains.",PRODUCT_INTEGRATION,"Broker website (dedicated contributor/education pages, multiple regions)","""Trading Central is a global leader of financial market research and automated investment analytics ... Technical, Fundamental and Value-based analytics continually monitor the market.""",Interactive Brokers,Interactive Brokers,"Regional Interactive Brokers domains (.sg, .hk, .co.in, .eu) folded into this single broker_group row as the same regulated global brand family.",2026-09-01
IronFX,ironfx.com,https://www.ironfx.com,Not specified by cited source (global forex/CFD broker),CONFIRMED_ACTIVE,90,Technical Analysis / Technical Views; Featured Ideas; Market Buzz; AI insights,UNKNOWN,"IronFX runs at least three dedicated Trading Central pages (overview, Technical Analysis, Featured Ideas) plus references it in broker-education articles describing Market Buzz and AI insights.",https://www.ironfx.com/en/trading/centrals-technical-analysis,Centrals Technical Analysis: Trading Tools & Widgets - IronFX,2026-08-28,https://www.ironfx.com/en/trading/central-overview; https://www.ironfx.com/en/trading/trading-central-featured-ideas; https://www.ironfx.com/en/choosing-a-trading-platform-that-truly-fits-your-style,2026-08-28,2026,IronFX is named in ForexBrokers.com's curated list of forex/CFD brokers offering Trading Central; not yet corroborated on the broker's own site.,PRODUCT_INTEGRATION,Broker website (multiple dedicated pages),"""Trading Central is the Forex market's leading and most trusted source of trading indicators and Technical Views.""",IronFX,IronFX,,2026-09-01
JRFX,jrfx.com,https://www.jrfx.com,Global,CONFIRMED_ACTIVE,82,Research/forecasts/comments/price levels; Adaptive Candlesticks (TCAC),MT4; EMBEDDED_WIDGET,"JRFX's own tools page states that Trading Central analysts' research, forecasts, comments and price levels are overlaid directly on MT4 real-time charts, including self-adjusting ('adaptive') candlesticks.",https://www.jrfx.com/tools/,Free Trading Central Analysis - JRFX,,,,2026,"JRFX overlays Trading Central research, forecasts and adaptive-candlestick pattern signals directly on MT4 charts.",PRODUCT_INTEGRATION,Broker website (dedicated page),"""The research, forecasts, comments, and price levels ... from TRADING CENTRAL analysts will be overlaid on MT4 real-time charts.""",JRFX,JRFX,,2026-09-01
Just2Trade,j2t.com,https://www.j2t.com,Not specified by cited source (global forex/CFD broker),LIKELY_ACTIVE,68,Trading Central (unspecified product mix),UNKNOWN,brokersome.com's dedicated Trading Central broker directory lists Just2Trade as offering Trading Central.,https://www.brokersome.com/forex-brokers/trading-central,Trading Central Forex Brokers - Brokersome,,,,2026,Just2Trade is listed in brokersome.com's Trading Central broker directory; not yet independently corroborated on the broker's own site.,PRODUCT_INTEGRATION,Directory/comparison site (brokersome.com),"""Just2Trade"" row, 'Trading Central' column, brokersome.com comparison table.",Just2Trade,Just2Trade,"Sourced from brokersome.com's dedicated Trading Central broker comparison table (46 brokers listed). Not individually verified on the broker's own site in this pass; brokersome.com's listing was spot-checked against 4 other entries (Fortrade, Libertex, Titan FX, CAPEX) with a 100% confirmation rate, giving reasonable but not certain confidence. Recommend direct confirmation before using in a sales-facing context.",2026-09-02
Kama Capital,kama-capital.com,https://www.kama-capital.com,Global / MENA,CONFIRMED_ACTIVE,83,Market Buzz; Crowd Insight,BROKER_WEB_PLATFORM,"Kama Capital's own resources page states it brings clients 'powerful analytics from Trading Central', covering forex, metals, indices, commodities and stocks.",https://kama-capital.com/resources/trading-central,Trading Central | Kama Capital,,,,2026,Kama Capital integrates Trading Central analytics across multiple asset classes for its clients.,PRODUCT_INTEGRATION,Broker website (dedicated page),"""At Kama Capital, we bring you powerful analytics from Trading Central, a globally trusted provider of market research and AI-driven insights.""",Kama Capital,Kama Capital,,2026-09-01
KGI Securities (Singapore),kgieworld.sg,https://www.kgieworld.sg,Singapore,CONFIRMED_ACTIVE,85,Analyst Opinion Indicator (MT4); Adaptive Candlesticks; Adaptive Convergence/Divergence Signals; Trading Central Reports,MT4,"KGI Securities Singapore's current sitemap lists 'Trading Central Reports' as a standing navigation item, and hosts dedicated PDF guides for three separate legacy Trading Central indicator products (Analyst Opinion, Adaptive Candlesticks, Adaptive Convergence/Divergence).",https://www.kgieworld.sg/futures/sitemap,KGI Securities Singapore | Sitemap,,https://www.kgieworld.sg/docs/forex/AdaptiveCandlesticks-EN.pdf; https://www.kgieworld.sg/docs/forex/AdaptiveConvergenceDivergenceSignals-EN.pdf; https://www.kgieworld.sg/research/category/kgi-daily-trading-ideas,,2026,KGI Securities Singapore hosts a Trading Central MT4 indicator configuration guide for its forex clients.,PRODUCT_INTEGRATION,Broker website (sitemap + product PDFs),"""This indicator will superimpose TRADING CENTRAL's analysts research, forecasts, commentary and key levels.""",KGI Securities (Singapore),KGI Securities (Singapore),,2026-09-01
Kotak Securities,kotaksecurities.com,https://www.kotaksecurities.com,India,HISTORICAL,52,Recognia Technical Insight,RESEARCH_PORTAL,"A ~2011 press-release reproduction states that Kotak Securities, the stock-broking arm of Kotak Mahindra Bank, began offering 'Recognia Technical Insight' to customers; no evidence was found on kotaksecurities.com confirming current availability.",https://www.newswit.com/en/izb43glr0t72fsmdl2wv4ghpj6obz01b,Recognia press-release digest naming Kotak Securities,c. 2011,https://www.scotiaitrade.com/en/home/learning-centre/ask-the-expert.html,c. 2011,c. 2011,Kotak Securities (India) was announced as a Recognia Technical Insight customer circa 2011; also named in Trading Central's own reproduced client list on a Scotia iTRADE page.,HISTORICAL_CUSTOMER,Third-party press-release reproduction (secondary),"""Recognia ... announced today, Kotak Securities Ltd., the stock broking arm of Kotak Mahindra Bank ... has started offering Recognia Technical Insight to its customers.""",Kotak Securities,Kotak Securities,Primary source is a press-release aggregator reproduction rather than an original release; site: search of kotaksecurities.com found no current corroboration — recommend a direct manual check.,2026-09-01
Libertex,libertex.com,https://www.libertex.com,Cyprus / global,CONFIRMED_ACTIVE,87,Trading signals,SIGNALS; BROKER_WEB_PLATFORM,"Libertex runs dedicated blog explainer pages on Trading Central's trading signals in at least four languages (English, Spanish, Portuguese, German), each describing free trading recommendations developed specifically for Libertex clients.",https://ng.libertex.com/blog/what-are-trading-signals-trading-central,What are the trading signals by Trading Central? - Libertex.com,,https://ng.libertex.com/es/blog/que-senales-trading-emplea-trading-central; https://ng.libertex.com/pt/blog/o-que-sao-os-sinais-de-negociacao-da-trading-central; https://ng.libertex.com/de/blog/was-sind-die-handelssignale-von-trading-central,,2026,"Libertex offers free Trading Central signals developed specifically for its clients, documented across multiple language sites.",PRODUCT_INTEGRATION,"Broker website (dedicated blog pages, 4 languages)","""Trading signals are free useful trading recommendations developed by specialists of Trading Central especially for clients of Libertex.""",Libertex,Libertex,Discovered while spot-verifying the brokersome.com directory listing.,2026-09-02
Markets.com,markets.com,https://www.markets.com,Cyprus (global),CONFIRMED_ACTIVE,87,Trading Central tools and insights,BROKER_WEB_PLATFORM,"Markets.com's own dedicated page states traders gain 'special access to Trading Central's cutting-edge tools and insights, which are not available to individual retail traders' outside the platform.",https://www.markets.com/trade/trading-central/,Enhance Your Trading with Trading Central on Markets.com,,,,2026,Markets.com gives its traders special access to Trading Central's research tools.,PRODUCT_INTEGRATION,Broker website (dedicated page),"""As a Markets.com trader, you can gain special access to Trading Central's cutting-edged tools and insights.""",Markets.com,Markets.com,,2026-09-01
Markets4you,markets4you.com,https://www.markets4you.com,Not specified by cited source (global forex/CFD broker),LIKELY_ACTIVE,74,Trading Central (unspecified product mix),UNKNOWN,ForexBrokers.com's independently maintained broker database (dated 2026-08-28) lists Markets4you among brokers offering Trading Central.,https://www.forexbrokers.com/guides/trading-central-brokers,Best Trading Central Forex Brokers for 2026 - ForexBrokers.com,2026-08-28,,2026-08-28,2026-08-28,Markets4you is named in ForexBrokers.com's curated list of forex/CFD brokers offering Trading Central; not yet corroborated on the broker's own site.,PRODUCT_INTEGRATION,Established industry publication (ForexBrokers.com independent broker database),"Listed in ForexBrokers.com's alphabetical list: ""Of the 60+ brokers in our independent database, here are the forex brokers and CFD brokers that offer Trading Central.""",Markets4you,Markets4you,Named only in ForexBrokers.com's generic alphabetical list without broker-specific product detail; no independent broker-site confirmation obtained in this pass — recommend a direct scrape as a follow-up validation pass.,2026-09-01
Merrill Edge (Bank of America),merrilledge.com,https://www.merrilledge.com,United States,CONFIRMED_ACTIVE,90,Trading Central technical events/chart patterns (MarketPro),BROKER_WEB_PLATFORM,"Merrill Edge's own MarketPro dashboard and user guide state 'Validate your process with Trading Central™' for identifying technical events and chart patterns across 8,000+ securities.",https://www.merrilledge.com/dashboard,Merrill Edge MarketPro® - Online Trading Platform,,https://www.merrilledge.com/marketpro/user-guide,2022 or earlier,2026 (live page; guide assets labeled 2022/2023),Merrill Edge's MarketPro active-trading platform integrates Trading Central for chart-pattern and technical-event identification.,PRODUCT_INTEGRATION,Broker website (live product page + user guide),"""Validate your process with Trading Central™ and access insights on technical events as they happen, directly from your charts.""",Merrill Edge (Bank of America),Merrill Edge (Bank of America),,2026-09-01
Moneta Markets,monetamarkets.com,https://www.monetamarkets.com,Australia / global (multi-jurisdiction CFD broker),CONFIRMED_ACTIVE,95,Featured Ideas; AI Market Buzz (Premium Edition); Crowd Insight; Technical Insight; Economic Calendar/Insight,BROKER_WEB_PLATFORM; MT4; MT5; SIGNALS; ECONOMIC_CALENDAR,"Moneta Markets runs dedicated own-site pages for Trading Central's Featured Ideas and AI Market Buzz, plus a broader trading-tools hub covering signals, sentiment, and technical analysis.",https://www.monetamarkets.com/featured-ideas/,Featured Ideas | Moneta Markets,,https://www.monetamarkets.com/ai-market-buzz/; https://www.monetamarkets.com/clients/tools/trading-tools/; https://www.tradingcentral.com/blog/moneta-markets-launches-trading-central-premium-ai-newsdesk-across-australia,2023 (TC blog: 'Moneta Markets launches Trading Central premium AI newsdesk across Australia' — first broker to launch Market Buzz Premium Edition),,Moneta Markets is a named launch partner for TC Market Buzz Premium Edition and maintains multiple dedicated Trading Central product pages across its platform.,PRODUCT_INTEGRATION,Broker website (dedicated product pages),"""Get real-time trading tools – economic news, signals, sentiment, crowd insights & technical analysis.""",Moneta Markets,Moneta Markets,"One of the deepest, most explicit multi-product integrations found.",2026-09-01
NABtrade,nabtrade.com.au,https://www.nabtrade.com.au,Australia,CONFIRMED_ACTIVE,85,Research provider listing (equities/ETFs/managed funds),EMAIL/NEWSLETTER,NABtrade's current 'why-nabtrade' page explicitly lists 'Our research providers: Trading Central; MorningStar; LSEG' — resolving the earlier concern that the newsletter page referenced a retired platform.,https://www.nabtrade.com.au/why-nabtrade/online-investing,Online investing - nabtrade,,,,2026,NABtrade offered a Trading Central weekly newsletter to its customers; the hosting page indicates the underlying platform generation has since been retired.,CUSTOMER,Broker website (current product page),"""Research is available for domestic and international equities, ETFs and managed funds. Our research providers: Trading Central; MorningStar; LSEG.""",NABtrade,NABtrade,,2026-09-01
NAGA,naga.com,https://www.naga.com,Germany / global (Spanish-language evidence),CONFIRMED_ACTIVE,76,Independent technical analysis / trading signals,SIGNALS; EDUCATIONAL_CONTENT,"NAGA's own Spanish-language trading-signals academy article names Trading Central as one of its featured signal-provider options, describing it as suited to traders wanting independent technical analysis and structured market research.",https://naga.com/lat/academy/senales-de-trading,Señales de trading: Cómo obtener las mejores señales de trading - NAGA,,,,2026,NAGA features Trading Central as one of its available trading-signal sources.,CONTENT_PROVIDER,"Broker website (educational/academy page, Spanish locale)","""3. Trading Central ... Adecuado para: traders que quieren análisis técnico independiente, señales basadas en gráficos e investigación de mercado estructurada.""",NAGA,NAGA,Discovered via multilingual (Spanish) search sweep; phrased as one of several available options rather than an exclusive/primary integration — recommend confirming access mechanism (free vs. gated).,2026-09-01
NSBroker,nsbroker.com,https://www.nsbroker.com,Global,CONFIRMED_ACTIVE,85,Trading Central signals/analytics,BROKER_WEB_PLATFORM,"NSBroker's own dedicated 'NSBroker & Trading Central' page (with a Polish-language mirror) describes a partnership combining AI analytics and human intuition across forex, indices, metals, commodities, crypto and stocks.",https://nsbroker.com/en/trading-central,Take Your Trading To the Next Level - NSBroker,,https://nsbroker.com/pl/trading-central-old,,2026,NSBroker partners with Trading Central for AI-driven analytics across multiple asset classes.,PRODUCT_INTEGRATION,"Broker website (dedicated page, EN + PL)","""Our partnership with Trading Central allows us to combine the revolutionary power of AI analytics and human intuition.""",NSBroker,NSBroker,Discovered via multilingual (Polish) search sweep.,2026-09-02
OneRoyal,oneroyal.com,https://www.oneroyal.com,Not specified by cited source (global forex/CFD broker),LIKELY_ACTIVE,68,Trading Central (unspecified product mix),UNKNOWN,brokersome.com's dedicated Trading Central broker directory lists OneRoyal as offering Trading Central.,https://www.brokersome.com/forex-brokers/trading-central,Trading Central Forex Brokers - Brokersome,,,,2026,OneRoyal is listed in brokersome.com's Trading Central broker directory; not yet independently corroborated on the broker's own site.,PRODUCT_INTEGRATION,Directory/comparison site (brokersome.com),"""OneRoyal"" row, 'Trading Central' column, brokersome.com comparison table.",OneRoyal,OneRoyal,"Sourced from brokersome.com's dedicated Trading Central broker comparison table (46 brokers listed). Not individually verified on the broker's own site in this pass; brokersome.com's listing was spot-checked against 4 other entries (Fortrade, Libertex, Titan FX, CAPEX) with a 100% confirmation rate, giving reasonable but not certain confidence. Recommend direct confirmation before using in a sales-facing context.",2026-09-02
Orbex,orbex.com,https://www.orbex.com,Global (Belize/Cyprus-regulated; Polish-language evidence),CONFIRMED_ACTIVE,85,Technical analysis and trading signals,BROKER_WEB_PLATFORM,Orbex's global site (Polish-localized page found) runs a dedicated 'Trading Central Technical Analysis and Trading Signals' page offering top-tier technical analysis and exclusive indicators.,https://www.orbex.com/pl/narzedzia-handlowe/trading-central,Trading Central Analiza Techniczna i Sygnały Transakcyjne - Orbex,,,,2026,Orbex's global brand (distinct from the orbexchina.com regional entity already in this database) offers Trading Central technical analysis and trading signals.,PRODUCT_INTEGRATION,Broker website (Polish-language dedicated page),"""Uzyskaj dostęp do najwyższej jakości analiz technicznych i sygnałów z Trading Central.""",Orbex,Orbex,Kept as a separate row from orbexchina.com (same broker_group 'Orbex') since orbex.com is the global site with independently found evidence.,2026-09-02
Orbex (China market),orbexchina.com,https://www.orbexchina.com,China (China-facing site),CONFIRMED_ACTIVE,80,Trading Central MT4 Analysis Indicator; Free trading signals,MT4,"Orbex's China-market site currently advertises Trading Central across its demo-account page, FAQs, and a dedicated Chinese-language page — evergreen content, not only the dated 2020 asset previously found.",https://www.orbexchina.com/en/orbex-specials/trading-central,TRADING CENTRAL - OrbexChina,,https://www.orbexchina.com/en/demo-account; https://www.orbexchina.com/zh/orbex-special/%E4%BA%A4%E6%98%93%E4%B8%AD%E5%BF%83; https://www.orbexchina.com/en/faqs,2020-06,2026,"Orbex's China-facing site advertised a Trading Central MT4 indicator and research platform, with evidence dated to around 2020.",PRODUCT_INTEGRATION,"Broker website (dedicated pages, EN + ZH)","""Free trading signals by trading central"" (demo account page).",Orbex,Orbex (China market),,2026-09-01
PatronFX,patronfx.com,https://www.patronfx.com,Global,CONFIRMED_ACTIVE,76,Analyst Views; Daily Market Analysis; Economic Insight; Featured Ideas; Strategy Newsletters; TC Market Buzz; TC Research Platform; Web TV,RESEARCH_PORTAL; ECONOMIC_CALENDAR; EDUCATIONAL_CONTENT,"DailyForex's 2026 broker review lists PatronFX as offering a very wide range of named Trading Central services, including Analyst Views, Economic Insight, Featured Ideas, TC Market Buzz, TC Research Platform, and Web TV.",https://www.dailyforex.com/forex-brokers/patronfx-review,PatronFX Review - DailyForex,2026,,,2026,PatronFX offers an unusually broad slate of named Trading Central products per an independent 2026 review — one of the deepest product counts found in this research.,PRODUCT_INTEGRATION,Established industry publication (DailyForex),"""PatronFX offers multiple Trading Central services ... Analyst Views, Daily Market Analysis, Economic Insight, Featured Ideas, Strategy Newsletters, TC Market Buzz, TC Research Platform and Web TV.""",PatronFX,PatronFX,Not yet independently verified on patronfx.com's own site; the product list is unusually long and would benefit from direct confirmation.,2026-09-01
Phillip Nova / PhillipCapital (Singapore),phillipnova.com.sg,https://www.phillipnova.com.sg,Singapore,CONFIRMED_ACTIVE,87,Trading Central Indicators; TC Market Buzz,MT5,Phillip Nova's own Phillip MetaTrader 5 product page offers downloadable Trading Central Indicators and a TC Market Buzz plugin; PhillipCapital's main forex page separately lists 'Trading Central Indicators' among its MT5 technical-analysis tools.,https://www.phillipnova.com.sg/phillip-metatrader-5-suite/,Phillip MetaTrader 5 - Phillip Nova,,https://www.phillip.com.sg/sg/forex/; https://www.youtube.com/watch?v=v9TJXXS5NMY,2021 (YouTube: Installing/Launching TC Market Buzz on Phillip MT5),2026,Phillip Nova / PhillipCapital (Singapore) bundles Trading Central Indicators and the TC Market Buzz plugin into its Phillip MetaTrader 5 suite.,PRODUCT_INTEGRATION,Broker website (dedicated product page),"""Technical Analysis powered by Trading Central Indicators and Market Buzz™""",PhillipCapital,Phillip Nova / Phillip MetaTrader 5,,2026-09-01
Plus500,plus500.com,https://www.plus500.com,Not specified by cited source (global forex/CFD broker),UNCLEAR,55,"Media Trends (news/content feed only, per source)",UNKNOWN,"ForexBrokers.com's list explicitly limits Plus500's Trading Central association to 'Media Trends data only', i.e. a narrower content feed rather than the full technical/fundamental product suite.",https://www.forexbrokers.com/guides/trading-central-brokers,Best Trading Central Forex Brokers for 2026 - ForexBrokers.com,2026-08-28,,2026-08-28,2026-08-28,Plus500 is named in ForexBrokers.com's curated list of forex/CFD brokers offering Trading Central; not yet corroborated on the broker's own site.,CONTENT_PROVIDER,Established industry publication (ForexBrokers.com independent broker database),"Listed in ForexBrokers.com's alphabetical list: ""Of the 60+ brokers in our independent database, here are the forex brokers and CFD brokers that offer Trading Central.""",Plus500,Plus500,"Explicitly scoped by the source to a narrow data feed, not a full Trading Central integration — kept at UNCLEAR/lower confidence pending direct confirmation on plus500.com.",2026-09-01
Questrade,questrade.com,https://www.questrade.com,Canada,CONFIRMED_ACTIVE,88,Intraday Trader tool (Trading Central technical analysis patterns/studies),UNKNOWN,ForexBrokers.com's independently maintained broker database (dated 2026-08-28) lists Questrade among brokers offering Trading Central.,https://www.questrade.com/learning/using-questrade/advanced-charting-studies,Advanced charting and technical studies - Questrade,2026-08-28,,2026-08-28,2026,Questrade is named in ForexBrokers.com's curated list of forex/CFD brokers offering Trading Central; not yet corroborated on the broker's own site.,PRODUCT_INTEGRATION,Broker website (own learning center),"""Intraday Trader tool (powered by Trading Central) offers a wide range of technical analysis patterns and studies.""",Questrade,Questrade,,2026-09-01
Radex Markets,radexmarkets.com,https://www.radexmarkets.com,Global,CONFIRMED_ACTIVE,85,Trading Central Daily Newsletter,BROKER_WEB_PLATFORM; EMAIL/NEWSLETTER,Radex Markets runs a dedicated Trading Central tools page plus a news post announcing 'New Feature Available: Trading Central Daily Newsletter'; Trading Central appears as a standing nav item across the site.,https://www.radexmarkets.com/en/Tools/TradingCentral,TRADING CENTRAL - RADEX MARKETS,,https://www.radexmarkets.com/en/News/NewsDetail?p=dHpLMkNlK1ZxS2c9,,2026,Radex Markets integrates Trading Central tools and a dedicated daily newsletter feature.,PRODUCT_INTEGRATION,Broker website (dedicated page + news post),"""Access Radex x Trading Central tools to capture market trends, manage risk, and boost your decisions.""",Radex Markets,Radex Markets,Discovered via multilingual (Vietnamese-query results) search sweep.,2026-09-02
RBC Direct Investing,rbcdirectinvesting.com,https://www.rbcdirectinvesting.com,Canada,CONFIRMED_ACTIVE,90,Technical Analysis and Events from Trading Central,RESEARCH_PORTAL; EDUCATIONAL_CONTENT,RBC Direct Investing's current platform-comparison page names 'Trading Central' directly (with a Trading Central logo asset) and confirms 'Technical Analysis and Events from Trading Central' is available on its Online Investing Platform and RBC Mobile app.,https://www.rbcdirectinvesting.com/trading-tools-research,Trading and Investing Tools and Research - RBC Direct Investing,page copyright 2016,,2016 or earlier,2026,"RBC Direct Investing's client education content describes access to Recognia technical-analysis research covering Canadian/U.S. stocks, ETFs and indices.",CUSTOMER,Broker website (current feature-comparison page),"""Technical Analysis and Events from Trading Central available for Online Investing Platform | ... available for RBC Mobile app.""",RBC Direct Investing,RBC Direct Investing,Upgraded from the earlier 2016-dated Recognia-only page — the brand has been updated to 'Trading Central' on RBC's current site.,2026-09-01
RoboForex,roboforex.com,https://www.roboforex.com,Not specified by cited source (global forex/CFD broker),LIKELY_ACTIVE,74,Trading Central (unspecified product mix),UNKNOWN,ForexBrokers.com's independently maintained broker database (dated 2026-08-28) lists RoboForex among brokers offering Trading Central.,https://www.forexbrokers.com/guides/trading-central-brokers,Best Trading Central Forex Brokers for 2026 - ForexBrokers.com,2026-08-28,,2026-08-28,2026-08-28,RoboForex is named in ForexBrokers.com's curated list of forex/CFD brokers offering Trading Central; not yet corroborated on the broker's own site.,PRODUCT_INTEGRATION,Established industry publication (ForexBrokers.com independent broker database),"Listed in ForexBrokers.com's alphabetical list: ""Of the 60+ brokers in our independent database, here are the forex brokers and CFD brokers that offer Trading Central.""",RoboForex,RoboForex,Named only in ForexBrokers.com's generic alphabetical list without broker-specific product detail; no independent broker-site confirmation obtained in this pass — recommend a direct scrape as a follow-up validation pass.,2026-09-01
Savexa,savexa.com,https://www.savexa.com,Global,LIKELY_ACTIVE,65,Advanced trading tools (unspecified),UNKNOWN,A Turkish-language independent broker review (topbrokers.com) states Trading Central 'has long empowered' Savexa's clients with advanced tooling; not yet confirmed on Savexa's own site.,https://topbrokers.com/tr/forex-brokers/savexa/,Savexa İncelemesi - Topbrokers,,,,,"Savexa reportedly offers Trading Central tools to clients, per a third-party Turkish broker review.",PRODUCT_INTEGRATION,"Third-party review site (topbrokers.com, Turkish-language)","""Trading Central uzun süredir müşterilere güç veriyor.""",Savexa,Savexa,Discovered via multilingual (Turkish) search sweep; recommend direct confirmation on savexa.com.,2026-09-02
Saxo Bank,home.saxo,https://www.home.saxo,Denmark (global); evidence from French entity,CONFIRMED_ACTIVE,90,"Technical analysis recommendations ('Idée de trading', 'Analyse technique')",RESEARCH_PORTAL; BROKER_WEB_PLATFORM,"Saxo Banque's own French-market site publishes dated (2025) stock-recommendation articles explicitly attributed to 'notre partenaire Trading Central' (our partner Trading Central), governed by the ANACOFI-CIF code of conduct.",https://www.home.saxo/fr-fr/campaigns/recommandations-actions,Recommandations actions | Saxo Banque,2025,https://www.home.saxo/fr-fr/content/articles/recommandation-sur-actions/analyse-technique---kraft-heinz-07102025; https://www.home.saxo/fr-fr/content/articles/recommandation-sur-actions/idee-de-trading---engie-sa-25022025,2025 or earlier,2025-10-07,"Saxo Banque (Saxo Bank's French-regulated entity) publishes ongoing dated stock recommendations sourced from its research partner, Trading Central.",CONTENT_PROVIDER,Broker website (own dated articles),"""Accédez aux recommandations de notre partenaire Trading Central afin d'affiner votre stratégie d'investissement sur les actions.""",Saxo Bank,Saxo Banque (France),Evidence is from the French Saxo Banque entity specifically (home.saxo/fr-fr); other Saxo regional entities not separately verified.,2026-09-01
Scotia iTRADE,scotiaitrade.com,https://www.scotiaitrade.com,Canada,CONFIRMED_ACTIVE,88,Recognia Technical Analysis tool; Trading Central (named directly),RESEARCH_PORTAL; EDUCATIONAL_CONTENT,Scotia iTRADE's own live learning-centre page explains how to use the 'Recognia Technical Analysis tool' from stock quote pages and separately reproduces Trading Central's marketing description of its brokerage client base.,https://www.scotiaitrade.com/en/home/learning-centre/ask-the-expert.html,Ask the Expert | Scotia iTRADE Learning Centre,Live 2026 (undated page),,pre-2014 (Recognia era),2026,Scotia iTRADE's own site provides client instructions for using the Recognia/Trading Central technical-analysis tool directly from stock quote pages.,CUSTOMER,Broker website (live learning centre page),"""It is also possible to use the Recognia Technical Analysis tool ... Trading Central ... client base that includes ... Fidelity, Charles Schwab, Scotia iTRADE, TD Waterhouse, Kotak Securities, Saxo Bank and many more.""",Scotia iTRADE,Scotia iTRADE,"This single Scotia-hosted page also supplies secondary, third-party corroboration for Fidelity, Schwab, TD Waterhouse, Kotak Securities and Saxo Bank being named Trading Central clients.",2026-09-01
StoneX Trading (formerly City Index),stonex.com,https://www.stonex.com,United Kingdom (global),CONFIRMED_ACTIVE,90,Technical Insight; Featured Ideas; Analyst Views,BROKER_WEB_PLATFORM; MOBILE_APP,"ForexBrokers.com's 2026 independent review states StoneX Trading's proprietary Web Trader platform integrates Trading Central modules including Analyst Views and Technical Insights, also available on its mobile app.",https://www.stonex.com/en-gb/why-trade-with-us,What sets StoneX Trading apart? - StoneX,2026-08-28,https://www.forexbrokers.com/guides/trading-central-brokers,,2026,"StoneX Trading (rebranded from City Index) integrates Trading Central's Technical Insight, Featured Ideas and Analyst Views modules into its Web Trader platform and mobile app.",PRODUCT_INTEGRATION,Established industry publication (ForexBrokers.com),"""Trading Central. Get closer to opportunity with Trading Central technical analysis and charting to identify overbought and underbought markets.""",StoneX Group Inc.,StoneX Trading / City Index,Independently confirmed via firecrawl_map on stonex.com — upgraded from ForexBrokers.com-only evidence.,2026-09-01
Swissquote,swissquote.com,https://www.swissquote.com,Switzerland (global),CONFIRMED_ACTIVE,83,Trading Central tools (alongside Autochartist),MT4; MT5,Swissquote's French-language trading-platforms page states that its MetaTrader 4/5 offering is complemented by 'les outils Autochartist et Trading Central'.,https://www.swissquote.com/fr-ch/private/trade/platforms,Plateformes de Trading - Swissquote,,https://www.forexbrokers.com/guides/trading-central-brokers,,2026,Swissquote pairs Trading Central and Autochartist tools with its MetaTrader 4/5 forex offering.,PRODUCT_INTEGRATION,Broker website (regional page) + industry publication list,"""Mettez à profit la nouvelle génération d'environnement Forex avec Metatrader 4 et 5, et ajoutez la touche finale avec les outils Autochartist et Trading Central.""",Swissquote,Swissquote,,2026-09-01
